134
Winer           Loser
ыва              фыва
фв                фва
ыва               фва
фва               ыва
фыафыа            ыав
ыва               чсм
чсм               ыва
а                  фв
ва               фыва
Я                друг
а                 выа
выа              ываф
выа            фыафыа
выа              ываф
выа              фыва
фыва             фавф
выа            фывафы
выа             ыфваф
First          Second
sdaf             asdf
asdf              sdf
sdaf             asdf
fdg              sdaf
sdf              asdf
sadf              sdf
sdf              asdf
sadf             asdf
sadf             sadf
First          Second
fd           Computer
First          Second
fd           Computer
First          Second
second       Computer
First          Second
second       Computer
First          Second
First          Second
First          Second
First          Second
sdfsaf       Computer
First          Second
First          Second
First          Second
sdfasdf      Computer
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
saf          Computer
First          Second
First          Second
ds           Computer
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
sdf          Computer
First          Second
sad          Computer
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
asdf         Computer
First          Second
First          Second
sf           Computer
First          Second
First          Second
First          Second
second       Computer
First          Second
second       Computer
First          Second
second       Computer
First          Second
First          Second
ывафы        Computer
First          Second
First          Second
фы           Computer
First          Second
ываф         Computer
First          Second
First          Second
фы           Computer
First          Second
First          Second
First          Second
First          Second
фва          Computer
ыфвафыва     Computer
ыфва         Computer
First          Second
ываывфа      Computer
First          Second
ывфаф        Computer
выфаыфва     Computer
фыва         Computer
First          Second
First          Second
second       Computer
First          Second
First          Second
First          Second
First          Second
фыа          Computer
First          Second
First          Second
First          Second
First          Second
вфа          Computer
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
First          Second
выаф               ва
ываыфв           ыфав
ыфав           ываыфв
ыфав           ываыфв
